Unit_ID,Cycle,Life_Cycles,Vibration_mm_s,Temperature_C,Current_A,RPM,Bearing_Noise_dB,Load_Factor,RUL,RUL_clipped,Risk_Level
1,40,175,1.76,46.17,12.05,1473.15,54.88,0.978,135,130,Low
1,41,175,1.88,46.09,12.58,1477.7,55.54,0.978,134,130,Low
1,42,175,1.6,47.29,12.45,1470.87,55.98,0.978,133,130,Low
1,43,175,1.56,45.55,12.46,1466.63,56.74,0.978,132,130,Low
1,44,175,1.82,45.42,12.62,1478.83,54.86,0.978,131,130,Low
1,45,175,1.94,45.11,12.23,1481.06,55.19,0.978,130,130,Low
1,46,175,1.65,46.6,12.16,1481.95,54.9,0.978,129,129,Low
1,47,175,1.85,46.99,12.34,1473.54,55.09,0.978,128,128,Low
1,48,175,1.64,45.38,12.37,1476.52,55.34,0.978,127,127,Low
1,49,175,1.86,46.05,12.42,1468.96,55.91,0.978,126,126,Low
1,50,175,1.79,44.08,12.41,1477.13,56.1,0.978,125,125,Low
1,51,175,1.83,45.82,11.72,1472.41,55.05,0.978,124,124,Low
1,52,175,1.79,45.21,12.11,1473.54,55.49,0.978,123,123,Low
1,53,175,1.73,47.89,12.4,1460.61,55.46,0.978,122,122,Low
1,54,175,1.88,45.67,12.41,1475.14,56.15,0.978,121,121,Low
1,55,175,2.03,45.01,12.6,1477.37,54.35,0.978,120,120,Low
1,56,175,1.72,46.26,12.33,1478.16,56.73,0.978,119,119,Low
1,57,175,1.93,46.6,12.49,1475.77,56.08,0.978,118,118,Low
1,58,175,2.03,47.61,12.32,1477.57,55.19,0.978,117,117,Low
1,59,175,1.84,46.86,12.33,1475.63,55.04,0.978,116,116,Low
1,60,175,2.03,46.89,12.65,1461.04,56.18,0.978,115,115,Low
1,61,175,1.93,47.9,12.36,1473.9,56.56,0.978,114,114,Low
1,62,175,2.06,47.04,12.21,1471.18,56.2,0.978,113,113,Low
1,63,175,2.01,46.74,12.42,1472.74,56.8,0.978,112,112,Low
1,64,175,2.12,46.84,12.72,1458.42,56.72,0.978,111,111,Low
1,65,175,1.98,47.48,12.29,1471.26,56.54,0.978,110,110,Low
1,66,175,1.75,47.61,12.34,1470.48,56.75,0.978,109,109,Low
1,67,175,2.09,47.75,12.6,1471.04,56.3,0.978,108,108,Low
1,68,175,1.98,48.67,12.42,1466.58,56.49,0.978,107,107,Low
1,69,175,2.01,48.98,12.5,1474.75,55.83,0.978,106,106,Low
1,70,175,2.11,47.34,12.72,1475.79,56.41,0.978,105,105,Low
1,71,175,2.08,47.18,13.16,1467.57,57.34,0.978,104,104,Low
1,72,175,2.06,48.7,12.58,1454.86,57.14,0.978,103,103,Low
1,73,175,2.2,48.81,12.65,1469.72,57.21,0.978,102,102,Low
1,74,175,2.21,48.0,12.4,1464.91,57.22,0.978,101,101,Low
1,75,175,2.16,49.46,12.87,1456.98,56.23,0.978,100,100,Low
1,76,175,2.48,48.37,12.41,1469.77,56.12,0.978,99,99,Low
1,77,175,2.36,48.89,12.91,1469.3,57.75,0.978,98,98,Low
1,78,175,2.21,48.92,12.53,1461.49,57.59,0.978,97,97,Low
1,79,175,2.42,49.82,12.87,1460.41,57.58,0.978,96,96,Low
1,80,175,2.44,49.34,12.78,1458.46,57.32,0.978,95,95,Low
1,81,175,2.52,49.11,12.81,1458.26,57.62,0.978,94,94,Low
1,82,175,2.45,50.75,13.14,1471.67,56.42,0.978,93,93,Low
1,83,175,2.46,49.35,13.06,1465.38,57.49,0.978,92,92,Low
1,84,175,2.53,49.29,13.25,1452.21,58.79,0.978,91,91,Low
1,85,175,2.59,48.17,12.57,1445.87,59.05,0.978,90,90,Low
1,86,175,2.39,50.0,12.91,1464.28,56.63,0.978,89,89,Low
1,87,175,2.59,50.21,12.7,1450.89,59.1,0.978,88,88,Low
1,88,175,2.4,50.25,13.02,1466.0,58.06,0.978,87,87,Low
1,89,175,2.61,51.52,12.96,1459.94,58.32,0.978,86,86,Low
1,90,175,2.73,51.22,13.16,1447.09,58.32,0.978,85,85,Low
1,91,175,2.83,50.79,12.81,1455.29,58.99,0.978,84,84,Low
1,92,175,2.92,50.05,13.21,1457.46,57.94,0.978,83,83,Low
1,93,175,2.8,51.31,12.86,1463.34,59.05,0.978,82,82,Low
1,94,175,2.84,51.14,12.94,1455.32,58.52,0.978,81,81,Low
1,95,175,2.98,51.86,13.49,1448.98,59.35,0.978,80,80,Low
1,96,175,2.84,51.47,13.19,1452.42,59.03,0.978,79,79,Low
1,97,175,2.84,51.91,12.87,1450.63,58.51,0.978,78,78,Low
1,98,175,3.21,51.64,13.39,1447.22,59.23,0.978,77,77,Low
1,99,175,2.84,53.05,13.2,1456.56,59.14,0.978,76,76,Low
1,100,175,3.3,52.04,12.67,1455.09,60.84,0.978,75,75,Low
1,101,175,3.19,53.02,13.26,1446.3,59.39,0.978,74,74,Low
1,102,175,3.13,51.6,13.55,1455.12,59.06,0.978,73,73,Low
1,103,175,3.1,53.96,13.39,1439.89,59.1,0.978,72,72,Low
1,104,175,3.13,53.61,13.83,1449.25,59.06,0.978,71,71,Low
1,105,175,3.23,52.82,13.51,1455.84,59.25,0.978,70,70,Low
1,106,175,3.32,52.86,13.5,1448.31,59.49,0.978,69,69,Low
1,107,175,3.34,53.45,14.26,1460.33,59.64,0.978,68,68,Low
1,108,175,3.42,54.72,13.77,1450.13,60.58,0.978,67,67,Low
1,109,175,3.46,52.79,13.85,1447.71,59.87,0.978,66,66,Low
1,110,175,3.48,53.44,13.88,1444.67,61.18,0.978,65,65,Low
1,111,175,3.58,54.03,13.95,1434.16,60.11,0.978,64,64,Low
1,112,175,3.44,53.86,13.88,1436.64,60.93,0.978,63,63,Low
1,113,175,3.82,53.97,13.58,1431.99,59.77,0.978,62,62,Low
1,114,175,3.62,55.28,13.9,1436.58,60.4,0.978,61,61,Low
1,115,175,3.96,54.71,14.27,1455.11,62.05,0.978,60,60,Low
1,116,175,3.82,54.68,13.92,1439.07,61.35,0.978,59,59,Low
1,117,175,3.93,54.94,13.99,1446.38,61.98,0.978,58,58,Low
1,118,175,3.88,55.93,13.38,1441.27,60.89,0.978,57,57,Low
1,119,175,3.86,57.21,14.15,1437.82,60.84,0.978,56,56,Low
1,120,175,4.11,55.47,14.36,1438.03,61.58,0.978,55,55,Low
1,121,175,4.04,57.33,14.13,1424.34,62.04,0.978,54,54,Low
1,122,175,3.96,56.76,14.37,1428.16,61.3,0.978,53,53,Low
1,123,175,4.2,55.91,13.85,1429.32,62.81,0.978,52,52,Low
1,124,175,4.27,56.73,14.14,1437.04,62.15,0.978,51,51,Low
1,125,175,4.44,57.24,14.11,1430.8,63.97,0.978,50,50,Low
1,126,175,4.31,57.47,14.29,1426.98,62.83,0.978,49,49,Low
1,127,175,4.42,59.19,14.07,1429.48,62.2,0.978,48,48,Low
1,128,175,4.28,58.21,15.04,1436.64,62.0,0.978,47,47,Low
1,129,175,4.35,59.55,14.52,1415.98,63.55,0.978,46,46,Low
1,130,175,4.42,58.05,14.28,1418.86,63.8,0.978,45,45,Low
1,131,175,4.73,58.88,14.49,1426.44,64.44,0.978,44,44,Low
1,132,175,4.6,60.68,14.54,1429.73,63.8,0.978,43,43,Low
1,133,175,4.89,58.32,14.64,1425.14,63.17,0.978,42,42,Low
1,134,175,4.88,58.2,14.62,1422.62,63.72,0.978,41,41,Low
1,135,175,4.77,60.95,15.04,1425.18,64.57,0.978,40,40,Medium
1,136,175,4.93,62.35,14.6,1417.07,64.02,0.978,39,39,Medium
1,137,175,4.83,61.0,14.94,1410.14,65.0,0.978,38,38,Medium
1,138,175,4.83,62.83,14.75,1407.69,65.17,0.978,37,37,Medium
1,139,175,5.11,61.36,15.48,1420.21,64.02,0.978,36,36,Medium
1,140,175,5.02,61.21,15.25,1410.44,66.14,0.978,35,35,Medium
1,141,175,5.22,62.29,15.28,1412.7,64.16,0.978,34,34,Medium
1,142,175,5.34,62.76,15.38,1418.46,64.72,0.978,33,33,Medium
1,143,175,5.25,63.19,15.26,1399.15,66.48,0.978,32,32,Medium
1,144,175,5.2,63.68,15.29,1409.08,66.45,0.978,31,31,Medium
1,145,175,5.42,64.16,14.91,1413.79,66.1,0.978,30,30,Medium
1,146,175,5.61,64.08,15.49,1418.39,65.69,0.978,29,29,Medium
1,147,175,5.56,64.85,15.34,1394.68,68.14,0.978,28,28,Medium
1,148,175,5.62,63.89,15.29,1407.58,66.74,0.978,27,27,Medium
1,149,175,5.72,63.46,15.41,1406.18,66.83,0.978,26,26,Medium
1,150,175,5.72,62.86,15.7,1401.55,67.37,0.978,25,25,Medium
1,151,175,5.95,65.19,15.84,1392.11,66.86,0.978,24,24,Medium
1,152,175,5.83,66.79,15.68,1403.22,66.54,0.978,23,23,Medium
1,153,175,6.01,64.2,15.77,1392.07,67.04,0.978,22,22,Medium
1,154,175,6.05,65.39,15.54,1395.76,68.45,0.978,21,21,Medium
1,155,175,5.99,66.54,15.84,1392.62,68.19,0.978,20,20,Medium
1,156,175,6.21,67.73,16.09,1402.82,68.02,0.978,19,19,Medium
1,157,175,6.33,68.64,16.3,1382.5,68.96,0.978,18,18,Medium
1,158,175,6.33,67.75,16.05,1399.67,68.49,0.978,17,17,Medium
1,159,175,6.51,68.12,16.32,1385.96,69.13,0.978,16,16,Medium
1,160,175,6.74,67.87,16.51,1375.91,68.53,0.978,15,15,High
1,161,175,6.56,68.88,16.11,1392.06,69.06,0.978,14,14,High
1,162,175,6.72,69.16,16.43,1390.03,68.93,0.978,13,13,High
1,163,175,6.87,70.46,16.6,1377.33,68.86,0.978,12,12,High
1,164,175,6.94,69.58,16.65,1378.1,70.76,0.978,11,11,High
1,165,175,6.97,71.41,16.68,1375.62,70.19,0.978,10,10,High
1,166,175,7.07,71.55,16.76,1378.74,70.25,0.978,9,9,High
1,167,175,6.95,71.47,16.37,1381.61,71.0,0.978,8,8,High
1,168,175,7.27,71.6,16.83,1362.59,70.72,0.978,7,7,High
1,169,175,7.19,72.52,17.05,1361.4,72.37,0.978,6,6,High
1,170,175,7.39,72.19,17.13,1364.51,71.86,0.978,5,5,High
1,171,175,7.38,72.73,16.61,1358.65,72.04,0.978,4,4,High
1,172,175,7.59,71.44,17.3,1371.76,72.67,0.978,3,3,High
1,173,175,7.78,74.02,17.08,1374.31,72.27,0.978,2,2,High
1,174,175,7.66,74.24,17.24,1363.37,72.43,0.978,1,1,High
1,175,175,7.84,74.99,17.55,1362.16,72.4,0.978,0,0,High
2,1,215,1.33,45.57,12.04,1477.25,54.44,0.903,214,130,Low
2,2,215,1.77,44.67,12.06,1487.42,55.17,0.903,213,130,Low
2,3,215,1.38,45.7,12.38,1477.5,54.93,0.903,212,130,Low
2,4,215,1.45,44.27,11.96,1479.68,55.37,0.903,211,130,Low
2,5,215,1.32,45.38,11.97,1477.32,54.66,0.903,210,130,Low
2,6,215,1.44,45.42,11.97,1484.69,55.28,0.903,209,130,Low
2,7,215,1.43,45.87,11.69,1488.2,56.09,0.903,208,130,Low
2,8,215,1.72,45.63,12.02,1484.78,54.38,0.903,207,130,Low
2,9,215,1.42,45.06,11.46,1477.62,53.96,0.903,206,130,Low
2,10,215,1.55,45.23,12.1,1482.93,54.6,0.903,205,130,Low
2,11,215,1.35,45.54,12.18,1473.76,54.3,0.903,204,130,Low
2,12,215,1.5,45.54,12.1,1480.68,55.33,0.903,203,130,Low
2,13,215,1.49,45.85,12.18,1476.66,55.61,0.903,202,130,Low
2,14,215,1.57,45.06,11.87,1489.34,54.93,0.903,201,130,Low
2,15,215,1.5,43.56,11.88,1481.8,55.05,0.903,200,130,Low
2,16,215,1.53,44.59,11.89,1477.55,55.46,0.903,199,130,Low
2,17,215,1.54,45.68,12.51,1487.05,55.15,0.903,198,130,Low
2,18,215,1.28,44.14,11.85,1473.7,54.83,0.903,197,130,Low
2,19,215,1.51,44.88,11.85,1468.59,55.19,0.903,196,130,Low
2,20,215,1.46,45.64,11.76,1476.23,54.38,0.903,195,130,Low
2,21,215,1.48,44.77,11.67,1465.38,54.88,0.903,194,130,Low
2,22,215,1.55,44.37,11.7,1477.06,54.89,0.903,193,130,Low
2,23,215,1.77,44.23,11.59,1480.29,54.79,0.903,192,130,Low
2,24,215,1.62,45.92,11.88,1482.39,55.09,0.903,191,130,Low
2,25,215,1.48,44.89,12.14,1480.54,54.99,0.903,190,130,Low
2,26,215,1.38,44.06,11.66,1483.62,55.06,0.903,189,130,Low
2,27,215,1.49,43.87,12.19,1476.08,53.94,0.903,188,130,Low
2,28,215,1.49,44.82,11.83,1485.46,55.49,0.903,187,130,Low
2,29,215,1.32,46.63,11.71,1490.53,55.11,0.903,186,130,Low
2,30,215,1.49,44.89,12.23,1478.05,54.78,0.903,185,130,Low
2,31,215,1.41,46.33,12.2,1484.0,55.02,0.903,184,130,Low
2,32,215,1.38,45.24,12.4,1478.26,56.33,0.903,183,130,Low
2,33,215,1.6,43.96,12.03,1485.94,54.43,0.903,182,130,Low
2,34,215,1.56,45.03,12.14,1477.16,54.47,0.903,181,130,Low
2,35,215,1.41,46.38,11.95,1489.67,55.21,0.903,180,130,Low
2,36,215,1.47,46.26,12.04,1469.81,54.97,0.903,179,130,Low
2,37,215,1.58,45.5,11.93,1482.72,54.93,0.903,178,130,Low
2,38,215,1.76,46.23,11.97,1485.14,55.43,0.903,177,130,Low
2,39,215,1.63,45.55,11.82,1485.16,55.11,0.903,176,130,Low
2,40,215,1.5,44.99,12.16,1475.71,54.9,0.903,175,130,Low
2,41,215,1.52,45.65,12.33,1474.92,54.89,0.903,174,130,Low
2,42,215,1.39,45.81,12.39,1476.91,54.68,0.903,173,130,Low
2,43,215,1.6,45.9,12.1,1481.25,55.61,0.903,172,130,Low
2,44,215,1.71,45.63,11.95,1479.68,55.18,0.903,171,130,Low
2,45,215,1.87,45.91,11.96,1476.25,54.4,0.903,170,130,Low
2,46,215,1.7,45.81,12.55,1474.23,55.14,0.903,169,130,Low
2,47,215,1.65,44.95,12.09,1473.66,56.04,0.903,168,130,Low
2,48,215,1.66,47.72,12.16,1475.08,55.72,0.903,167,130,Low
2,49,215,1.65,45.44,11.88,1465.16,54.67,0.903,166,130,Low
2,50,215,1.67,45.45,12.52,1485.52,55.3,0.903,165,130,Low
2,51,215,1.62,45.45,12.09,1470.84,55.93,0.903,164,130,Low
2,52,215,1.88,46.04,12.18,1476.17,54.4,0.903,163,130,Low
2,53,215,1.73,46.42,12.24,1478.56,55.09,0.903,162,130,Low
2,54,215,1.77,45.97,12.4,1477.32,56.45,0.903,161,130,Low
2,55,215,1.71,45.43,11.97,1485.95,55.38,0.903,160,130,Low
2,56,215,1.68,45.59,12.17,1483.29,55.57,0.903,159,130,Low
2,57,215,1.8,45.87,12.09,1475.1,55.79,0.903,158,130,Low
2,58,215,1.67,46.93,11.86,1483.4,55.19,0.903,157,130,Low
2,59,215,1.95,47.03,12.05,1459.19,56.64,0.903,156,130,Low
2,60,215,1.71,46.79,12.04,1477.24,54.26,0.903,155,130,Low
2,61,215,1.72,46.62,12.17,1473.13,55.8,0.903,154,130,Low
2,62,215,1.78,46.32,12.18,1470.65,55.46,0.903,153,130,Low
2,63,215,1.66,46.71,12.1,1475.62,55.9,0.903,152,130,Low
2,64,215,1.85,47.29,12.46,1484.34,55.23,0.903,151,130,Low
2,65,215,1.86,44.78,12.6,1474.68,55.7,0.903,150,130,Low
2,66,215,1.93,45.99,12.38,1468.27,55.45,0.903,149,130,Low
2,67,215,1.96,46.88,12.05,1473.98,57.19,0.903,148,130,Low
2,68,215,2.0,46.45,12.43,1480.77,55.68,0.903,147,130,Low
2,69,215,1.78,46.87,12.24,1477.01,56.52,0.903,146,130,Low
2,70,215,2.22,45.76,12.32,1469.42,56.04,0.903,145,130,Low
2,71,215,1.77,48.42,12.21,1470.73,55.76,0.903,144,130,Low
2,72,215,1.69,47.53,11.89,1470.83,56.36,0.903,143,130,Low
2,73,215,1.87,44.31,12.53,1478.36,55.3,0.903,142,130,Low
2,74,215,1.82,46.63,12.5,1468.8,56.3,0.903,141,130,Low
2,75,215,1.92,45.03,12.49,1474.64,56.13,0.903,140,130,Low
2,76,215,1.87,47.4,12.83,1474.05,56.4,0.903,139,130,Low
2,77,215,2.01,47.1,12.61,1470.29,55.68,0.903,138,130,Low
2,78,215,1.96,48.09,12.04,1465.62,56.67,0.903,137,130,Low
2,79,215,1.87,47.69,12.23,1477.92,56.61,0.903,136,130,Low
2,80,215,1.78,47.41,12.75,1467.46,57.55,0.903,135,130,Low
2,81,215,1.88,47.35,12.78,1466.58,57.06,0.903,134,130,Low
2,82,215,2.15,47.7,12.75,1474.27,56.26,0.903,133,130,Low
2,83,215,2.15,46.65,13.19,1479.1,56.97,0.903,132,130,Low
2,84,215,2.03,47.71,12.43,1469.44,57.21,0.903,131,130,Low
2,85,215,2.13,48.11,12.37,1465.81,57.11,0.903,130,130,Low
2,86,215,2.32,48.35,12.55,1468.11,55.27,0.903,129,129,Low
2,87,215,2.06,47.8,12.26,1468.85,57.11,0.903,128,128,Low
2,88,215,2.3,47.93,12.77,1474.49,57.1,0.903,127,127,Low
2,89,215,2.17,48.09,12.67,1472.5,55.82,0.903,126,126,Low
2,90,215,2.38,47.57,12.55,1460.0,56.27,0.903,125,125,Low
2,91,215,2.13,47.49,12.85,1466.43,57.2,0.903,124,124,Low
2,92,215,2.02,46.82,12.79,1469.7,57.04,0.903,123,123,Low
2,93,215,2.34,47.92,12.8,1471.87,57.29,0.903,122,122,Low
2,94,215,2.28,48.9,12.72,1464.48,57.35,0.903,121,121,Low
2,95,215,2.53,49.19,12.26,1460.79,57.75,0.903,120,120,Low
2,96,215,2.36,49.83,12.73,1462.86,56.96,0.903,119,119,Low
2,97,215,2.39,47.17,12.57,1465.33,57.75,0.903,118,118,Low
2,98,215,2.42,49.45,12.68,1469.45,57.9,0.903,117,117,Low
2,99,215,2.28,48.3,12.43,1465.59,56.74,0.903,116,116,Low
2,100,215,2.27,50.01,12.57,1459.97,57.62,0.903,115,115,Low
2,101,215,2.42,49.71,12.79,1457.61,57.55,0.903,114,114,Low
2,102,215,2.29,48.96,12.41,1471.09,56.89,0.903,113,113,Low
2,103,215,2.58,49.3,12.76,1466.81,59.08,0.903,112,112,Low
2,104,215,2.6,49.53,12.93,1460.34,58.15,0.903,111,111,Low
2,105,215,2.45,49.15,12.97,1450.55,58.26,0.903,110,110,Low
2,106,215,2.31,50.08,13.04,1466.63,57.28,0.903,109,109,Low
2,107,215,2.6,48.05,13.0,1453.4,58.03,0.903,108,108,Low
2,108,215,2.55,49.48,12.19,1472.22,58.07,0.903,107,107,Low
2,109,215,2.56,50.34,12.83,1460.57,57.75,0.903,106,106,Low
2,110,215,2.47,51.17,13.11,1459.48,58.4,0.903,105,105,Low
2,111,215,2.9,50.49,12.94,1458.88,58.16,0.903,104,104,Low
2,112,215,2.71,50.44,13.05,1444.09,58.67,0.903,103,103,Low
2,113,215,2.69,51.1,12.76,1459.82,57.09,0.903,102,102,Low
2,114,215,2.59,51.89,12.87,1453.42,58.0,0.903,101,101,Low
2,115,215,2.75,50.5,12.97,1463.18,59.2,0.903,100,100,Low
2,116,215,2.9,51.18,13.13,1464.36,59.19,0.903,99,99,Low
2,117,215,2.73,51.89,12.71,1450.3,58.44,0.903,98,98,Low
2,118,215,2.69,51.88,13.4,1461.88,59.27,0.903,97,97,Low
2,119,215,2.92,52.69,13.17,1459.39,57.77,0.903,96,96,Low
2,120,215,2.79,51.16,13.11,1457.32,58.25,0.903,95,95,Low
2,121,215,2.91,51.68,13.0,1453.8,57.79,0.903,94,94,Low
2,122,215,2.89,53.4,13.31,1452.95,58.62,0.903,93,93,Low
2,123,215,3.02,51.29,13.55,1452.34,58.7,0.903,92,92,Low
2,124,215,3.05,51.24,13.58,1450.21,59.08,0.903,91,91,Low
2,125,215,3.08,52.57,12.9,1468.2,59.99,0.903,90,90,Low
2,126,215,2.82,51.0,13.44,1449.98,60.09,0.903,89,89,Low
2,127,215,3.13,50.67,13.07,1450.68,58.65,0.903,88,88,Low
2,128,215,2.92,52.57,13.2,1442.09,59.66,0.903,87,87,Low
2,129,215,3.19,52.68,13.76,1448.81,58.78,0.903,86,86,Low
2,130,215,3.15,53.92,13.64,1441.43,59.01,0.903,85,85,Low
2,131,215,3.13,54.59,13.68,1457.75,58.6,0.903,84,84,Low
2,132,215,3.17,53.72,13.96,1459.4,59.73,0.903,83,83,Low
2,133,215,3.03,52.66,13.1,1441.55,59.22,0.903,82,82,Low
2,134,215,3.35,53.72,13.91,1447.89,59.78,0.903,81,81,Low
2,135,215,3.39,53.83,13.09,1453.92,58.83,0.903,80,80,Low
2,136,215,3.37,53.76,13.8,1445.06,59.25,0.903,79,79,Low
2,137,215,3.54,54.13,13.73,1439.79,60.87,0.903,78,78,Low
2,138,215,3.46,52.92,13.68,1441.24,61.41,0.903,77,77,Low
2,139,215,3.41,53.16,13.94,1443.4,60.38,0.903,76,76,Low
2,140,215,3.35,56.67,13.86,1447.0,61.15,0.903,75,75,Low
2,141,215,3.51,53.75,14.01,1440.96,60.21,0.903,74,74,Low
2,142,215,3.44,54.91,13.94,1446.11,61.28,0.903,73,73,Low
2,143,215,3.65,54.22,13.58,1441.35,60.22,0.903,72,72,Low
2,144,215,3.52,54.33,13.69,1446.22,61.79,0.903,71,71,Low
2,145,215,3.45,55.0,13.73,1442.61,61.12,0.903,70,70,Low
2,146,215,3.75,54.85,14.41,1435.5,61.13,0.903,69,69,Low
2,147,215,3.47,54.6,13.88,1445.8,61.24,0.903,68,68,Low
2,148,215,3.73,56.52,14.17,1437.76,61.83,0.903,67,67,Low
2,149,215,3.64,56.77,14.31,1436.58,61.08,0.903,66,66,Low
2,150,215,3.85,55.92,14.09,1436.41,60.47,0.903,65,65,Low
2,151,215,4.04,56.32,14.14,1437.25,61.06,0.903,64,64,Low
2,152,215,4.01,56.79,14.59,1434.25,62.03,0.903,63,63,Low
2,153,215,4.07,56.88,14.13,1432.69,61.7,0.903,62,62,Low
2,154,215,4.08,58.28,13.98,1433.9,63.06,0.903,61,61,Low
2,155,215,3.94,56.4,14.21,1433.1,61.93,0.903,60,60,Low
2,156,215,4.13,58.13,14.09,1422.93,62.35,0.903,59,59,Low
2,157,215,4.15,57.23,13.88,1425.31,61.55,0.903,58,58,Low
2,158,215,4.05,57.57,14.16,1431.71,64.06,0.903,57,57,Low
2,159,215,4.21,58.57,14.61,1426.61,62.09,0.903,56,56,Low
2,160,215,4.28,56.99,14.58,1431.82,62.47,0.903,55,55,Low
2,161,215,4.42,59.17,14.4,1428.88,63.16,0.903,54,54,Low
2,162,215,4.24,58.29,14.28,1432.1,62.78,0.903,53,53,Low
2,163,215,4.39,58.94,14.54,1421.76,63.86,0.903,52,52,Low
2,164,215,4.47,58.22,14.0,1428.43,62.98,0.903,51,51,Low
2,165,215,4.67,60.96,14.81,1423.12,63.45,0.903,50,50,Low
2,166,215,4.61,60.13,14.6,1430.92,63.95,0.903,49,49,Low
2,167,215,4.63,60.61,14.96,1426.91,62.93,0.903,48,48,Low
2,168,215,4.65,61.43,14.61,1426.78,64.03,0.903,47,47,Low
2,169,215,4.78,58.89,14.49,1426.43,64.34,0.903,46,46,Low
2,170,215,4.63,60.24,14.89,1426.99,64.35,0.903,45,45,Low
2,171,215,5.07,61.27,14.71,1428.81,64.28,0.903,44,44,Low
2,172,215,4.72,60.55,14.66,1415.59,64.31,0.903,43,43,Low
2,173,215,5.08,59.67,15.47,1418.93,65.69,0.903,42,42,Low
2,174,215,4.99,60.8,15.05,1415.95,64.7,0.903,41,41,Low
2,175,215,5.16,61.18,14.76,1408.6,64.42,0.903,40,40,Medium
2,176,215,5.07,60.36,14.82,1416.95,64.13,0.903,39,39,Medium
2,177,215,5.16,62.6,14.71,1410.6,65.63,0.903,38,38,Medium
2,178,215,5.12,61.7,15.22,1412.84,64.84,0.903,37,37,Medium
2,179,215,5.22,63.02,14.9,1413.68,65.57,0.903,36,36,Medium
2,180,215,5.35,62.28,14.67,1413.04,64.52,0.903,35,35,Medium
2,181,215,5.26,64.13,14.99,1403.79,65.38,0.903,34,34,Medium
2,182,215,5.39,63.16,15.38,1406.1,66.16,0.903,33,33,Medium
2,183,215,5.43,62.18,14.96,1406.55,65.06,0.903,32,32,Medium
2,184,215,5.51,63.18,15.0,1401.32,65.75,0.903,31,31,Medium
2,185,215,5.6,65.02,15.33,1408.0,64.94,0.903,30,30,Medium
2,186,215,5.56,62.41,15.2,1407.88,66.02,0.903,29,29,Medium
2,187,215,5.52,64.05,15.65,1397.71,67.64,0.903,28,28,Medium
2,188,215,5.57,64.08,15.64,1404.25,66.58,0.903,27,27,Medium
